Argument ID,Date,Duration (minutes),Topic,Emotional Tone,Resolution Type,Mood Swing,Notes
1,2024-01-05,43,Parenting Styles,Disappointed,No Resolution,Mild,Discussed parenting styles for 43 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: No Resolution.
2,2024-02-05,24,Parenting Styles,Annoyed,Compromise,Severe,Discussed parenting styles for 24 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Compromise.
3,2024-02-27,25,Money Management,Annoyed,No Resolution,Moderate,Discussed money management for 25 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: No Resolution.
4,2024-02-07,20,Time Management,Angry,Resolution Discussed,Moderate,Discussed time management for 20 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
5,2024-01-26,7,Future Goals,Frustrated,Resolution Discussed,Mild,Discussed future goals for 7 minutes. Emotional tone was Frustrated. Mood swings observed: Mild. Resolution type: Resolution Discussed.
6,2024-02-15,9,Parenting Styles,Annoyed,Resolution Discussed,Moderate,Discussed parenting styles for 9 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
7,2024-02-10,10,Social Activities,Happy,Apology,Moderate,Discussed social activities for 10 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Apology.
8,2024-01-11,5,Household Chores,Disappointed,Compromise,Severe,Discussed household chores for 5 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Compromise.
9,2024-01-05,16,Personal Space,Disappointed,Resolution Discussed,None,Discussed personal space for 16 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
10,2024-02-11,55,Future Goals,Supportive,Resolution Discussed,Mild,Discussed future goals for 55 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Resolution Discussed.
11,2024-01-05,57,Future Goals,Annoyed,Resolution Discussed,None,Discussed future goals for 57 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Resolution Discussed.
12,2024-02-21,17,Family Responsibilities,Disappointed,Compromise,Moderate,Discussed family responsibilities for 17 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Compromise.
13,2024-02-10,18,Household Chores,Calm,Compromise,Mild,Discussed household chores for 18 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Compromise.
14,2024-02-01,30,Family Responsibilities,Frustrated,No Resolution,Severe,Discussed family responsibilities for 30 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
15,2024-01-03,5,Time Management,Annoyed,Apology,Moderate,Discussed time management for 5 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
16,2024-02-14,34,Household Chores,Annoyed,Resolution Discussed,Mild,Discussed household chores for 34 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Resolution Discussed.
17,2024-02-21,23,Family Responsibilities,Supportive,Apology,Moderate,Discussed family responsibilities for 23 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Apology.
18,2024-02-22,11,Family Responsibilities,Calm,Resolution Discussed,Severe,Discussed family responsibilities for 11 minutes. Emotional tone was Calm. Mood swings observed: Severe. Resolution type: Resolution Discussed.
19,2024-01-29,60,Time Management,Hurt,Apology,Mild,Discussed time management for 60 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Apology.
20,2024-02-21,44,Family Responsibilities,Calm,Resolution Discussed,Severe,Discussed family responsibilities for 44 minutes. Emotional tone was Calm. Mood swings observed: Severe. Resolution type: Resolution Discussed.
21,2024-01-18,32,Future Goals,Angry,Compromise,None,Discussed future goals for 32 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: Compromise.
22,2024-02-05,41,Family Responsibilities,Supportive,No Resolution,Mild,Discussed family responsibilities for 41 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: No Resolution.
23,2024-02-14,28,Household Chores,Calm,Compromise,Mild,Discussed household chores for 28 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Compromise.
24,2024-01-16,31,Family Responsibilities,Hurt,Compromise,Mild,Discussed family responsibilities for 31 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Compromise.
25,2024-02-14,53,Time Management,Angry,Compromise,Mild,Discussed time management for 53 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Compromise.
26,2024-01-23,22,Household Chores,Supportive,Compromise,None,Discussed household chores for 22 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: Compromise.
27,2024-02-22,26,Parenting Styles,Hurt,Resolution Discussed,None,Discussed parenting styles for 26 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Resolution Discussed.
28,2024-01-08,34,Money Management,Disappointed,Apology,None,Discussed money management for 34 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Apology.
